@relation refinedData-weka.filters.unsupervised.instance.RemovePercentage-P50.0-V

@attribute ageDifference numeric
@attribute weightDifference numeric
@attribute heightDifference numeric
@attribute ref {'Helio Vigio','Joao Alberto Barreto','John McCarthy',N/A,'Joe Hamilton','Mason White','Larry Landless','Herb Dean','Cecil Peoples','Steve Mazzagatti','Jon Schorle','Mario Yamasaki','Yves Lavigne','Troy Waugh','Jorge Alonso','Marco Lopez','Mark Matheny','Kerry Hatley','Dan Miragliotta','Kevin Mulhall','Josh Rosenthal','Jerry Krzys','Adam Martinez','Tim Mills','Philippe Chartier','Daryl Guthmiller','Nick Gamst','Josh Arney','Mark Powell','Jim Axtel','Marc Goddard','Leon Roberts','David Smith','Todd Frederickson','Marc Fennell','Mike Reid','Al Coley','Donnie Jessup','Jorge Ortiz','Rick Fike','Kim Winslow','Keith Peterson','Dave Hagen','Dave Hagan','Shawn Gregory','Kevin Nix','Tom Jones','Gary Ritter','Don Turnage','Jason Herzog','Greg Franklin','John Sharp','Steve Perceval','Tom Johnson','Dale Frye','Bill Clancy','Phillipe Chatrier','Marc-Andre Cote','Kevin Dornan','Tony Williamson','Marcos Rosales','Rob Hinds','Jeff Malott','Marc Fennel','Chris Tognoni','Gary Copeland','Chris Kinman','Kevin MacDonald','Anthony Hamlett','Jerin Valel','Chip Snider','Myron Gaudet','Fernando Yamasaki','Jacob Montalvo','Dan Stell','Jason McCoy','Robert Madrigal','Jim Axtell','Bo Nesslein','Kristian Hacklou','Marko Gyllenland','Robert Sundel','Blake Grice','Will Fisher','Todd McGovern','Rick McCoy','Chris Adams','Frank Gentile','Gasper Oliver','Luis Cobian','Steve Newport','Neil Hall','Thomas Fan','Mike Beltran','Adam Cheadle','Randy Corley','Al Wichgers','Todd Anderson','Jay Stafin','Cameron Quinn','George Allen','Rob Madrigal','Otto Torriero','Osiris Maia','Grant Waterman','Wernei Cardoso','Jorge Alsonso','Mark Smith','Wolf Menninger','Raul Porrata','Frank Collazo','Peter Hickmott','Vitor Ribeiro','Liam Kerrigan','Steven Davis','Cyril Desjardins','Brad Jardine','Bobby Rehman','Eduardo Herdy','Al Guinee','Gary Forman','Bryan Miner','Kevin Sataki','Don Thais','Camila Albuquerque','Mike King','Lukasz Bosacki','Marco Goddard','Greg Kleynjans','Terry Hill','Gabe Barahona','Jordan Bass','Robbie Scheuermann','James Warring','Josh Ward','David Ferguson','Neil Swailes','Joe Solis','Piotr Michalak','John Hosegood','Steve Rita','Bill Bookwalter','James Chappell'}
@attribute round numeric
@attribute weightClass {Middleweight,'Light Heavyweight',Heavyweight,Welterweight,'Super Heavyweight',N/A,Lightweight,Bantamweight,Featherweight,Flyweight,Strawweight,Atomweight}
@attribute method {Submission,TKO,KO,Draw,Decision,DQ,NC,No}

@data
?,50,2,'John McCarthy',1,'Light Heavyweight',Submission
?,13,0,'John McCarthy',1,'Super Heavyweight',Submission
?,70,4,N/A,1,Heavyweight,Submission
?,?,?,'John McCarthy',1,N/A,Submission
?,?,?,'John McCarthy',1,'Light Heavyweight',TKO
1,30,2,'John McCarthy',1,Heavyweight,Submission
4,23,2,'John McCarthy',1,Heavyweight,Submission
8,41,4,'John McCarthy',1,Heavyweight,TKO
0,15,2,'John McCarthy',1,Heavyweight,TKO
?,?,?,'John McCarthy',1,Heavyweight,KO
9,124,0,'John McCarthy',1,'Light Heavyweight',Submission
?,?,?,'John McCarthy',1,'Super Heavyweight',Decision
?,200,0,'John McCarthy',1,Heavyweight,KO
?,38,6,'John McCarthy',1,Heavyweight,Submission
6,41,1,'John McCarthy',1,Heavyweight,Decision
?,25,4,'John McCarthy',1,Heavyweight,TKO
?,200,7,'John McCarthy',1,'Light Heavyweight',TKO
6,37,5,'John McCarthy',1,'Light Heavyweight',TKO
?,0,6,'John McCarthy',1,Heavyweight,TKO
?,0,8,'John McCarthy',1,Heavyweight,TKO
?,?,?,N/A,1,Heavyweight,TKO
1,5,0,'John McCarthy',1,'Light Heavyweight',TKO
2,35,2,'John McCarthy',1,'Light Heavyweight',Submission
3,12,3,'John McCarthy',1,Heavyweight,Submission
?,5,6,'John McCarthy',1,Heavyweight,KO
0,0,0,'John McCarthy',1,'Light Heavyweight',Submission
?,13,0,'John McCarthy',1,Heavyweight,Submission
?,20,1,'John McCarthy',1,Heavyweight,TKO
?,5,4,N/A,1,Heavyweight,Decision
?,?,?,N/A,1,N/A,TKO
0,73,1,'John McCarthy',1,'Super Heavyweight',Decision
4,17,3,'John McCarthy',1,'Light Heavyweight',Submission
4,6,1,'John McCarthy',1,'Light Heavyweight',Decision
0,25,3,'John McCarthy',1,Heavyweight,Submission
?,17,5,'John McCarthy',1,Heavyweight,TKO
?,95,2,'John McCarthy',1,'Light Heavyweight',Submission
?,?,?,'John McCarthy',1,Heavyweight,Submission
?,73,3,'John McCarthy',1,'Super Heavyweight',Submission
4,10,3,'John McCarthy',1,Heavyweight,Submission
1,65,5,'John McCarthy',1,Heavyweight,TKO
?,20,2,'John McCarthy',1,Heavyweight,Submission
1,30,2,'John McCarthy',1,Heavyweight,Submission
?,?,?,N/A,1,N/A,Submission
?,30,1,N/A,1,Heavyweight,Submission
?,30,1,N/A,1,'Light Heavyweight',TKO
0,40,1,'John McCarthy',1,Heavyweight,Submission
?,0,0,'John McCarthy',1,Heavyweight,KO
?,20,1,'John McCarthy',1,Heavyweight,Submission
6,48,1,'John McCarthy',1,'Light Heavyweight',Submission
12,138,1,'John McCarthy',1,Middleweight,TKO
?,9,2,'John McCarthy',1,'Light Heavyweight',Submission
12,48,2,'John McCarthy',1,Middleweight,TKO
?,108,2,'John McCarthy',1,'Super Heavyweight',TKO
1,21,3,'John McCarthy',1,'Light Heavyweight',Decision
?,4,1,'John McCarthy',1,'Light Heavyweight',Submission
?,?,?,'John McCarthy',1,'Light Heavyweight',Submission
?,?,?,'John McCarthy',1,'Light Heavyweight',TKO
12,65,0,'John McCarthy',1,Middleweight,TKO
?,87,0,'John McCarthy',1,'Light Heavyweight',TKO
7,5,1,'John McCarthy',1,'Light Heavyweight',Submission
?,97,3,'John McCarthy',1,'Light Heavyweight',Submission
?,?,?,'John McCarthy',1,'Super Heavyweight',Submission
?,?,?,'John McCarthy',1,'Light Heavyweight',Submission
6,0,1,'John McCarthy',1,'Light Heavyweight',Decision
?,?,?,'Joe Hamilton',1,N/A,TKO
?,?,?,'Joe Hamilton',1,'Light Heavyweight',TKO
3,1,1,'John McCarthy',1,'Light Heavyweight',Decision
2,77,2,'John McCarthy',1,Heavyweight,Submission
?,44,2,'John McCarthy',1,'Light Heavyweight',Submission
2,110,3,'John McCarthy',1,'Super Heavyweight',TKO
4,50,2,'John McCarthy',1,Heavyweight,TKO
?,1,3,'John McCarthy',1,'Light Heavyweight',Submission
?,?,?,'John McCarthy',1,N/A,Decision
?,24,5,'John McCarthy',1,Heavyweight,TKO
?,?,?,'John McCarthy',1,Lightweight,Submission
4,44,2,'John McCarthy',1,'Light Heavyweight',Submission
?,43,5,'John McCarthy',1,Heavyweight,Submission
14,18,1,'John McCarthy',1,'Light Heavyweight',TKO
0,20,2,'John McCarthy',1,Heavyweight,Decision
?,15,8,'John McCarthy',1,Heavyweight,KO
?,7,2,'Joe Hamilton',1,Heavyweight,TKO
?,49,8,'Joe Hamilton',1,Heavyweight,Decision
?,10,3,'John McCarthy',1,Middleweight,KO
2,10,4,'John McCarthy',1,Heavyweight,Decision
3,14,2,'John McCarthy',1,Welterweight,Submission
?,0,1,'John McCarthy',1,'Light Heavyweight',TKO
0,1,5,'Joe Hamilton',1,Welterweight,Decision
?,10,2,'Joe Hamilton',1,Welterweight,TKO
?,20,6,'Joe Hamilton',1,Lightweight,Submission
?,26,2,'Joe Hamilton',1,Middleweight,TKO
3,1,3,'John McCarthy',1,Middleweight,Submission
11,20,2,'John McCarthy',1,Heavyweight,KO
6,11,4,'John McCarthy',1,Middleweight,Decision
3,10,0,'John McCarthy',1,Heavyweight,TKO
?,5,1,'John McCarthy',1,'Light Heavyweight',Submission
2,36,6,'John McCarthy',1,Middleweight,Submission
1,20,1,'John McCarthy',1,Middleweight,Decision
3,70,3,'John McCarthy',1,'Super Heavyweight',KO
?,?,?,'John McCarthy',1,'Light Heavyweight',Decision
4,3,1,'John McCarthy',1,Middleweight,Submission
1,0,2,'John McCarthy',1,Middleweight,TKO
9,6,1,'John McCarthy',1,Heavyweight,KO
6,1,4,'John McCarthy',1,Welterweight,Decision
5,0,4,'John McCarthy',1,Heavyweight,Decision
6,13,1,'John McCarthy',1,'Light Heavyweight',Submission
?,?,?,'John McCarthy',1,Middleweight,TKO
?,?,?,'John McCarthy',1,Lightweight,TKO
5,20,2,'John McCarthy',1,'Light Heavyweight',TKO
5,14,2,'John McCarthy',1,Welterweight,Decision
10,39,0,'John McCarthy',1,Heavyweight,Decision
1,6,3,'John McCarthy',1,'Light Heavyweight',TKO
